location,bedroom,bathroom,square,rent,pet,style,distance,average
Hoboken,1,1,500,"2,000",No,B,0<d<2,BAD
Hoboken,1,1,"1,150","2,950",Yes,B,0<d<2,BAD
Hoboken,2,1,925,"2,300",No,B,0<d<2,GOOD
Hoboken,2,2,900,"2,600",No,A,0<d<2,GOOD
Hoboken,2,2,925,"2,600",Yes,A,0<d<2,GOOD
Hoboken,2,2,900,"2,600",Yes,A,0<d<2,GOOD
Hoboken,2,1,N/A,"2,850",Yes,B,0<d<2,BAD
Hoboken,2,1,870,"2,975",Yes,B,0<d<2,BAD
Hoboken,1,1,650,"2,450",Yes,A,0<d<2,BAD
Hoboken,1,1,925,"2,450",No,A,0<d<2,BAD
Hoboken,1,1,975,"2,450",Yes,A,0<d<2,BAD
Hoboken,2,1,870,"2,700",Yes,B,0<d<2,GOOD
Hoboken,2,2,1700,"4,500",Yes,B,0<d<2,BAD
Hoboken,2,2,1700,"4,500",Yes,B,0<d<2,BAD
Hoboken,2,2,1700,"4,500",No,B,0<d<2,BAD
Hoboken,2,2,1700,"4,500",Yes,A,0<d<2,BAD
Hoboken,2,2,"1,600","4,500",No,B,0<d<2,BAD
Hoboken,2,2,"1,600","4,500",Yes,B,0<d<2,BAD
Hoboken,2,2,"1,600","4,500",Yes,B,0<d<2,BAD
Hoboken,2,2,"1,600","4,500",Yes,A,0<d<2,BAD
Hoboken,3,1,"1,600","4,000",Yes,B,0<d<2,GOOD
Hoboken,3,2,1200,"4,100",No,B,0<d<2,GOOD
Hoboken,2,2,1200,"4,500",No,B,0<d<2,BAD
Hoboken,1,1,870,"2,300",No,B,0<d<2,BAD
Hoboken,4,2,"1,600","4,400",No,C,0<d<2,GOOD
Hoboken,4,2,"1,600","4,400",No,C,0<d<2,GOOD
Hoboken,4,2,"1,600","4,400",No,C,0<d<2,GOOD
Hoboken,4,2,"1,600","4,400",No,C,0<d<2,GOOD
Hoboken,4,2.5,1825,"6,000",Yes,B,0<d<2,BAD
Hoboken,1,1,700,"2,500",No,B,0<d<2,BAD
Hoboken,1,1,900,"2,500",Yes,B,0<d<2,BAD
Hoboken,1,1,"1,000","2,500",Yes,B,0<d<2,BAD
Hoboken,2,1,N/A,"1,950",Yes,B,0<d<2,GOOD
Hoboken,1,1,550,"2,100",No,C,0<d<2,BAD
Hoboken,1,1,"1,000","2,100",Yes,B,0<d<2,BAD
Hoboken,1,1,600,"2,450",Yes,B,0<d<2,BAD
Hoboken,1,1,925,"2,450",Yes,B,0<d<2,BAD
Hoboken,1,1,836,"2,450",Yes,B,0<d<2,BAD
Hoboken,2,1,925,"2,650",Yes,B,0<d<2,GOOD
Hoboken,2,2,"1,150","2,900",Yes,B,0<d<2,BAD
Hoboken,2,1,836,"2,500",Yes,B,0<d<2,GOOD
Hoboken,2,1,N/A,"2,500",No,B,0<d<2,GOOD
Hoboken,2,1,836,"2,500",Yes,B,0<d<2,GOOD
Hoboken,1,1.5,N/A,"4,350",Yes,B,0<d<2,BAD
Hoboken,2,1,925,"2,600",No,B,0<d<2,GOOD
Hoboken,2,1,900,"2,600",Yes,B,0<d<2,GOOD
Hoboken,2,1,870,"2,600",No,B,0<d<2,GOOD
Hoboken,2,1,812,"3,000",No,C,0<d<2,BAD
Hoboken,4,2.5,2000,"6,950",Yes,B,0<d<2,BAD
Hoboken,4,2.5,1825,"6,950",Yes,B,0<d<2,BAD
Hoboken,4,2.5,1825,"6,950",No,B,0<d<2,BAD
Hoboken,2,2,900,"2,850",Yes,B,0<d<2,BAD
Hoboken,2,1.5,836,"2,700",Yes,B,0<d<2,GOOD
Hoboken,2,1.5,870,"2,700",Yes,B,0<d<2,GOOD
Hoboken,2,1.5,N/A,"2,700",Yes,B,0<d<2,GOOD
Hoboken,2,1,609,"2,450",No,A,0<d<2,GOOD
Hoboken,2,1,836,"2,450",Yes,A,0<d<2,GOOD
Hoboken,2,1,900,"2,450",Yes,A,0<d<2,GOOD
Hoboken,2,1,925,"2,450",Yes,A,0<d<2,GOOD
Hoboken,2,1,975,"2,450",Yes,A,0<d<2,GOOD
Hoboken,2,1,N/A,"2,450",No,A,0<d<2,GOOD
Hoboken,1,1,870,"2,500",No,B,0<d<2,BAD
Hoboken,2,1,"1,150","2,950",Yes,A,0<d<2,BAD
Hoboken,2,1,"1,000","2,950",No,A,0<d<2,BAD
Hoboken,2,1,836,"2,950",Yes,A,0<d<2,BAD
Hoboken,5,6.5,N/A,"13,000",No,B,0<d<2,BAD
Hoboken,3,1,848,"2,921",Yes,A,0<d<2,GOOD
Hoboken,2,2,900,"2,975",Yes,C,0<d<2,BAD
Hoboken,2,2,N/A,"3,300",Yes,A,0<d<2,BAD
Hoboken,2,2,"1,150","3,300",Yes,A,0<d<2,BAD
Hoboken,2,2,"1,150","3,300",No,A,0<d<2,BAD
Hoboken,2,2,1150,"3,550",Yes,A,0<d<2,BAD
Hoboken,2,2,"1,150","3,550",Yes,A,0<d<2,BAD
Hoboken,2,2,"1,150","3,550",No,A,0<d<2,BAD
Hoboken,1,1,975,"2,950",No,B,0<d<2,BAD
Hoboken,2,2,975,"3,075",Yes,B,0<d<2,BAD
Hoboken,2,2,"1,150","3,300",Yes,B,0<d<2,BAD
Hoboken,2,2,1200,"3,300",Yes,B,0<d<2,BAD
Hoboken,1,1,836,"2,350",No,B,0<d<2,BAD
Hoboken,1,1,N/A,"2,500",No,B,0<d<2,BAD
Hoboken,1,1,750,"2,550",No,C,0<d<2,BAD
Hoboken,1,1,750,"2,550",No,C,0<d<2,BAD
Hoboken,2,1,836,"2,500",Yes,B,0<d<2,GOOD
Hoboken,1,1,800,"3,150",Yes,B,0<d<2,BAD
Hoboken,2,2,900,"2,975",Yes,B,0<d<2,BAD
Hoboken,2,3,"1,500","3,850",No,C,0<d<2,BAD
Hoboken,1,1,750,"2,200",Yes,A,0<d<2,BAD
Hoboken,1,1,900,"2,200",No,A,0<d<2,BAD
Hoboken,1,1,836,"2,200",No,A,0<d<2,BAD
Hoboken,2,2,N/A,"3,900",No,B,0<d<2,BAD
Hoboken,2,2,1700,"4,000",Yes,A,0<d<2,BAD
Hoboken,2,1,836,"2,350",Yes,B,0<d<2,GOOD
Hoboken,2,1,925,"2,350",Yes,B,0<d<2,GOOD
Hoboken,2,1.5,"1,150","3,400",Yes,B,0<d<2,BAD
Hoboken,1,1,925,"2,575",Yes,B,0<d<2,BAD
Hoboken,3,1,836,"2,920",Yes,A,0<d<2,GOOD
Hoboken,3,1,836,"2,920",Yes,A,0<d<2,GOOD
Hoboken,1,1,870,"2,810",No,A,0<d<2,BAD
Hoboken,1,1,870,"2,810",Yes,A,0<d<2,BAD
Hoboken,1,1,738,"2,810",Yes,A,0<d<2,BAD
Hoboken,1,1,1200,"3,000",No,B,0<d<2,BAD
Hoboken,2,2,"1,035","2,800",Yes,A,0<d<2,GOOD
Hoboken,2,2,"1,150","3,200",Yes,B,0<d<2,BAD
Hoboken,1,1,897,"2,881",Yes,A,0<d<2,BAD
Hoboken,1,1,897,"2,921",Yes,A,0<d<2,BAD
Hoboken,2,2,"1,600","4,300",Yes,B,0<d<2,BAD
Hoboken,1,1,609,"2,414",Yes,A,0<d<2,BAD
Hoboken,1,1,N/A,"2,750",Yes,B,0<d<2,BAD
Hoboken,1,1,900,"2,750",Yes,B,0<d<2,BAD
Hoboken,1,1,870,"2,750",No,B,0<d<2,BAD
