1331 Grand St,Hoboken,2,2,1100,2900,Yes,3,1.28
909 Willow Ave # 9,Hoboken,4,2,1600,4400,No,3,0.52
461 4th St Apt 3E,Hoboken,1,1,N/A,3450,No,1,NA
1331 Grand St,Hoboken,2,2,1100,2900,Yes,3,1.28
909 Willow Ave # 9,Hoboken,4,2,1600,4400,No,3,0.52
461 4th St Apt 3E,Hoboken,1,1,N/A,3450,No,1,NA
1331 Grand St,Hoboken,2,2,1100,2900,Yes,3,1.28
909 Willow Ave # 9,Hoboken,4,2,1600,4400,No,3,0.52
461 4th St Apt 3E,Hoboken,1,1,N/A,3450,No,1,NA
1100 Jefferson St,Hoboken,1,1,870,2896,Yes,1,1.15
800 Madison St,Hoboken,1,1,739,2880,Yes,1,1.17
1000 Jefferson St,Hoboken,1,1,897,2881,Yes,1,1
1450 Garden St,Hoboken,1,1,738,3359,Yes,1,1.07
800 Madison St,Hoboken,1,1,739,2880,Yes,1,1.17
300 Grand St Apt 320,Hoboken,3,1,440,1950,No,1,1.67
1330 Willow Ave,Hoboken,3,1,N/A,2395,Yes,1,1.1
2 14th St,Hoboken,4,1,523,2396,Yes,1,NA
1130-1133 Grand St,Hoboken,2,2,1035,2800,Yes,1,0.99
1100 Jefferson St,Hoboken,1,1,870,2896,Yes,1,1.15
900 Monroe St,Hoboken,1,1,660,3095,Yes,1,NA
1 Independence Ct,Hoboken,3,1,508,3096,Yes,1,NA
51 Garden St,Hoboken,1,1,609,2414,Yes,1,1.05
333 River St,Hoboken,3,1,836,2920,Yes,1,0.97
77 Park Ave,Hoboken,3,1,848,2921,Yes,1,0.81
619 Adams St,Hoboken,1,1,700,2650,No,1,1.31
218 Bloomfield St # B,Hoboken,3,2,1600,4750,No,1,1.38
1331 Grand St Apt 304,Hoboken,2,2,1148,3200,No,3,1.28
1015 Grand St Apt 2B,Hoboken,1,1,750,2550,No,3,0.84
1330 Willow Ave,Hoboken,3,1,N/A,2395,Yes,1,1.1
900 Monroe St,Hoboken,1,1,660,3095,Yes,1,NA
303 1st St # 6,Hoboken,2,1,1000,2500,Yes,3,NA
418 Hudson St # 1,Hoboken,2,3,1500,3850,No,3,0.9
1115 Willow Ave Apt 102,Hoboken,2,2,900,2975,Yes,3,0.81
332 Monroe St Apt 3,Hoboken,2,2,1150,3200,No,3,NA
515 4th St Apt 208,Hoboken,2,1,1000,2500,Yes,3,NA
909 Willow Ave # 9,Hoboken,4,2,1600,4400,No,3,0.52
1331 Grand St,Hoboken,2,2,1100,2900,Yes,3,1.28
1013 Park Ave # 2,Hoboken,1,1,550,2100,No,3,0.57
333 River St,Hoboken,3,1,836,2920,Yes,1,0.97
1000 Jefferson St,Hoboken,1,1,897,2921,Yes,1,1
1106 Park Ave Apt 4L,Hoboken,2,1,812,3000,No,3,0.72
503 Park Ave # 1,Hoboken,1,1,675,2200,No,3,1.13
1015 Grand St Apt 2B,Hoboken,1,1,750,2550,No,3,0.84
500 Jefferson St Unit 6,Hoboken,2,2,1000,4200,No,2,1.56
82 Jackson St Apt A6,Hoboken,1,1,550,379900,Yes,2,1.32
404 Monroe St Apt 4,Hoboken,2,2,1100,2950,Yes,2,NA
1109 Park Ave,Hoboken,4,2.5,2000,6950,Yes,2,0.72
414 Madison St Apt 3F,Hoboken,1,1,660,2100,Yes,2,1.76
1500 Washington St Apt 11J,Hoboken,1,1,N/A,2750,Yes,2,1.05
104 Jefferson St Apt 4R,Hoboken,1,1,550,1650,Yes,1,2.13
100 Park Ave Apt 3,Hoboken,2,1,1000,2650,Yes,2,1.7
222 Grand St Apt 1J,Hoboken,2,2,N/A,3000,No,2,1.82
132 Jefferson St Apt 1,Hoboken,4,2,1700,3700,Yes,2,2.13
218 Washington St Apt 2B,Hoboken,1,1,700,2575,Yes,2,1.29
1405 Clinton St Apt 601,Hoboken,2,2,900,3950,Yes,2,1.33
41 1st St Apt 3C,Hoboken,2,1,850,2900,Yes,1,NA
834 Hudson Ave Apt 2C,Hoboken,1,1,650,2450,Yes,1,0.31
1038 Park Ave Unit 2,Hoboken,1,1,600,2450,Yes,2,0.57
500 Jefferson St Unit 3,Hoboken,2,2,1150,3200,Yes,2,1.56
76 Jackson St Unit 3F,Hoboken,1,1,650,2470,Yes,2,1.48
1125 Maxwell Ln Apt 619,Hoboken,1,1,900,3100,Yes,2,NA
56 Jefferson St Apt 4A,Hoboken,2,2,1100,3100,No,1,1.56
380 Newark Ave Apt 5C,Hoboken,2,2,1200,3400,No,1,1.6
712 Washington St Unit 3,Hoboken,1,1,700,2500,No,2,0.55
360 14th St Unit 2,Hoboken,1,1,609,2450,No,2,NA
1 Independence Ct Apt 1101,Hoboken,2,2,1300,4065,No,2,NA
1 Independence Ct Apt 1101,Hoboken,2,2,1300,4065,Yes,2,NA
400 Monroe St Unit 3R,Hoboken,1,1,500,1375,Yes,1,NA
358 3rd St Apt 3R,Hoboken,1,1,650,2000,No,2,NA
1107 Willow Ave Apt 1,Hoboken,2,2,1150,3550,Yes,1,0.81
252 1st St # B,Hoboken,2,1,925,2800,No,1,NA
309 Monroe St Apt 6,Hoboken,1,1,N/A,2000,Yes,1,NA
333 River St,Hoboken,1,1,870,2810,No,1,0.97
531 Jefferson St Unit 9,Hoboken,2,2,836,3000,Yes,2,1.56
610 Newark St Apt 5A,Hoboken,2,2,900,3000,No,2,1.16
811 Willow Ave Apt 3,Hoboken,2,1.5,836,2700,Yes,2,0.74
811 Park Ave Unit 3R,Hoboken,2,1,836,2500,Yes,2,0.65
1114 Park Ave Apt 5R,Hoboken,2,1,925,2600,No,2,0.72
